umap1,umap2,cell_type,sample,annotation_source
-3.8066716,1.3548312,Il1b+ TAM,E14S,transferred
-5.5856953,3.099214,Il1b+ TAM,E14S,transferred
-4.6695714,1.6327055,Resident Macrophage,E14S,transferred
-2.7169724,1.8897389,Il1b+ TAM,E14S,transferred
-2.6515367,1.2824416,Il1b+ TAM,E14S,transferred
-3.0592434,5.1994905,C1qc+ TAM,E14S,transferred
2.6175542,13.775451,NK,E14S,transferred
-4.1792283,2.1228335,Il1b+ TAM,E14S,transferred
-6.3226223,4.251797,Resident Macrophage,E14S,transferred
-6.2323666,2.5337534,C1qc+ TAM,E14S,transferred
-3.3790922,6.852658,C1qc+ TAM,E14S,transferred
-1.9269338,2.3477929,Monocyte,E14S,transferred
1.0291901,-7.5210214,Neutrophil,E14S,transferred
2.3334708,6.982557,mDC,E14S,transferred
-0.25139365,2.1181438,Monocyte,E14S,transferred
2.485437,7.095553,mDC,E14S,transferred
-2.4990425,2.5274334,Monocyte,E14S,transferred
-4.5928626,4.9218693,C1qc+ TAM,E14S,transferred
2.6291964,7.5241914,mDC,E14S,transferred
16.742403,7.1966615,Hypoxic Tumor,E14S,transferred
-1.2367749,1.5665767,Monocyte,E14S,transferred
-4.3977,5.6514063,C1qc+ TAM,E14S,transferred
-3.3652945,4.1079245,Monocyte,E14S,transferred
-0.30467767,2.0632968,Monocyte,E14S,transferred
2.5708525,11.315924,C1qc+ TAM,E14S,transferred
-0.1095243,-8.701036,Neutrophil,E14S,transferred
-4.39897,6.130958,Resident Macrophage,E14S,transferred
-2.851069,4.1415105,Il1b+ TAM,E14S,transferred
3.0070007,11.223745,Regulatory CD4 T,E14S,transferred
-3.1990283,2.7443802,Il1b+ TAM,E14S,transferred
16.502907,8.102792,Hypoxic Tumor,E14S,transferred
2.4239736,13.562359,NK T,E14S,transferred
0.44103146,-6.044283,Neutrophil,E14S,transferred
18.528353,9.18235,Stromal,E14S,transferred
-1.9015002,2.5867374,Monocyte,E14S,transferred
-0.8530368,1.2499735,Monocyte,E14S,transferred
2.8729239,12.810265,CD4 T,E14S,transferred
-1.9558598,2.8355935,Monocyte,E14S,transferred
-5.907513,4.476174,Resident Macrophage,E14S,transferred
-3.953188,5.5744057,C1qc+ TAM,E14S,transferred
16.892408,6.711198,Hypoxic Tumor,E14S,transferred
2.5051646,7.1020565,mDC,E14S,transferred
2.916503,11.742179,CD4 T,E14S,transferred
-5.184927,2.8914936,Resident Macrophage,E14S,transferred
-5.7031584,2.5826285,Il1b+ TAM,E14S,transferred
-4.723906,4.708837,C1qc+ TAM,E14S,transferred
25.647902,3.4250116,Tumor,E14S,transferred
1.7474583,13.981426,NK,E14S,transferred
2.5943618,7.276563,mDC,E14S,transferred
-2.0479133,2.2472737,Monocyte,E14S,transferred
-4.999165,3.4069998,Il1b+ TAM,E14S,transferred
0.38485098,-6.870308,Neutrophil,E14S,transferred
0.3419912,-6.348068,Neutrophil,E14S,transferred
-0.19838205,1.8452784,Monocyte,E14S,transferred
1.5419623,7.029551,mDC,E14S,transferred
-4.966268,5.615772,C1qc+ TAM,E14S,transferred
16.807976,6.431709,Hypoxic Tumor,E14S,transferred
-4.122144,2.1501262,Il1b+ TAM,E14S,transferred
-3.0088887,2.2659936,Il1b+ TAM,E14S,transferred
3.034458,11.267245,CD8 Terminally Exhausted,E14S,transferred
-6.116209,1.1583248,Spp1+ TAM,E14S,transferred
-5.5598397,3.4186957,Resident Macrophage,E14S,transferred
-3.7962315,2.760891,Il1b+ TAM,E14S,transferred
0.43014517,-5.7645307,Neutrophil,E14S,transferred
0.006494388,1.7703353,Monocyte,E14S,transferred
-4.460167,2.1697729,Il1b+ TAM,E14S,transferred
-1.4962866,3.5775485,Resident Macrophage,E14S,transferred
-3.141853,2.071243,Monocyte,E14S,transferred
-2.167437,4.3861213,Resident Macrophage,E14S,transferred
-1.8315047,2.4301648,Monocyte,E14S,transferred
-2.1531513,1.2481105,Monocyte,E14S,transferred
0.2655678,4.9598036,cDC,E14S,transferred
-4.097953,4.5761857,Monocyte,E14S,transferred
0.9854185,5.9066906,cDC,E14S,transferred
0.6066372,5.239467,cDC,E14S,transferred
-3.2817872,6.677126,C1qc+ TAM,E14S,transferred
-6.0351324,4.6122212,C1qc+ TAM,E14S,transferred
-2.5581663,4.178491,Monocyte,E14S,transferred
2.1178887,14.462132,NK,E14S,transferred
-6.04375,2.310052,Resident Macrophage,E14S,transferred
0.71827716,5.2164497,cDC,E14S,transferred
-1.968225,3.7762847,Resident Macrophage,E14S,transferred
0.50288635,-6.2182174,Neutrophil,E14S,transferred
-4.703954,2.245156,Il1b+ TAM,E14S,transferred
-5.797405,5.0908465,C1qc+ TAM,E14S,transferred
-4.8439927,3.8388472,Monocyte,E14S,transferred
-1.3323327,1.2429317,Monocyte,E14S,transferred
-5.4502068,0.70392317,Spp1+ TAM,E14S,transferred
-5.31524,2.8586197,Resident Macrophage,E14S,transferred
1.2672755,-7.9363127,Neutrophil,E14S,transferred
-4.496937,3.2185087,Resident Macrophage,E14S,transferred
2.3526106,7.022036,mDC,E14S,transferred
-6.9580984,3.2995167,C1qc+ TAM,E14S,transferred
-0.27044636,1.5438093,Monocyte,E14S,transferred
-3.002808,4.5412335,Monocyte,E14S,transferred
