source,target,obs_frac,exp_frac,enrichment,log2_enrichment,n_source,n_target,p_perm,sample,label_space
Stromal,Il1bpos_TAM,0.04279166050569274,0.04628022677311119,0.9246208043767559,-0.11306627067225371,1133,400,0.0033222591362126247,E15S,hybrid_dynamics
Stromal,entering_hypoxia,0.04699098033417123,0.04477611940298507,1.0494652274631575,0.06965436577485537,1133,387,0.05647840531561462,E15S,hybrid_dynamics
Stromal,CAF,0.04450687564690226,0.04477611940298507,0.9939868894474839,-0.008701271926599415,1133,387,0.7674418604651163,E15S,hybrid_dynamics
Stromal,transitional,0.030400709744196362,0.031007751937984496,0.9804228892503327,-0.02852392869314789,1133,268,0.5116279069767442,E15S,hybrid_dynamics
Stromal,normoxic_stable,0.02770959633298832,0.030429249103320608,0.9106237304411332,-0.13507303906236914,1133,263,0.009966777408637873,E15S,hybrid_dynamics
Stromal,persistent_hypoxia,0.030193701020257282,0.03031354853638783,0.9960464042674949,-0.005715138088902526,1133,262,0.8803986710963455,E15S,hybrid_dynamics
Stromal,entering_deep_hypoxia,0.024308738725417715,0.023255813953488372,1.0452757651929618,0.06388360507350087,1133,201,0.17940199335548174,E15S,hybrid_dynamics
Stromal,NK,0.022652668933905072,0.022908712252690037,0.9888233211906139,-0.01621532558390602,1133,198,0.7906976744186046,E15S,hybrid_dynamics
Stromal,reverted_stable,0.01422445660209966,0.013884068031933356,1.024516486766228,0.034943200732269766,1133,120,0.5813953488372093,E15S,hybrid_dynamics
Stromal,cDC,0.007866331509685052,0.007173435149832234,1.0965919877130308,0.13302683768506107,1133,62,0.1893687707641196,E15S,hybrid_dynamics
Stromal,B,0.004435901227266006,0.004512322110378341,0.9830639565964125,-0.024642815795621154,1133,39,0.8106312292358804,E15S,hybrid_dynamics
Stromal,CD8_exhausted,0.003607866331509685,0.004049519842647229,0.8909368200925203,-0.1666049668113337,1133,35,0.21262458471760798,E15S,hybrid_dynamics
Stromal,mDC,0.0038148750554487655,0.003933819275714451,0.9697636795365788,-0.04429487325633884,1133,34,0.7308970099667774,E15S,hybrid_dynamics
Stromal,Hypoxic_Tumor,0.004347183202720686,0.003702418141848895,1.1741470131598404,0.23161305740711088,1133,32,0.04983388704318937,E15S,hybrid_dynamics
Resident_Macrophage,Neutrophil,0.134834996852801,0.1423116973273169,0.9474625022754138,-0.07785924801714743,744,1230,0.006644518272425249,E15S,hybrid_dynamics
Resident_Macrophage,C1qcpos_TAM,0.13816203578814854,0.13201434687029967,1.0465683394539596,0.06566652064499522,744,1141,0.013289036544850499,E15S,hybrid_dynamics
Resident_Macrophage,Stromal,0.1249887600035968,0.13108874233483744,0.9534667720309683,-0.06874543286893127,744,1133,0.013289036544850499,E15S,hybrid_dynamics
Resident_Macrophage,Monocyte,0.0840302131103318,0.0824945042230707,1.018615893285551,0.026610132641984637,744,713,0.4219269102990033,E15S,hybrid_dynamics
Resident_Macrophage,Spp1pos_TAM,0.05840302131103318,0.05738748119865787,1.0176961959501205,0.02530695040172051,744,496,0.5415282392026578,E15S,hybrid_dynamics
Resident_Macrophage,exiting_hypoxia,0.05233342325330456,0.05310656022214509,0.9854417803449048,-0.021157455164809415,744,459,0.6112956810631229,E15S,hybrid_dynamics
Resident_Macrophage,Il1bpos_TAM,0.053502382879237476,0.04628022677311119,1.1560527380631238,0.2092072137612958,744,400,0.0033222591362126247,E15S,hybrid_dynamics
Resident_Macrophage,entering_hypoxia,0.04226238647603633,0.04477611940298507,0.943859964631478,-0.08335526423869585,744,387,0.09302325581395349,E15S,hybrid_dynamics
Resident_Macrophage,CAF,0.04469022569912778,0.04477611940298507,0.9980817072805204,-0.0027701692414094357,744,387,0.9667774086378738,E15S,hybrid_dynamics
Resident_Macrophage,transitional,0.030797590144771153,0.031007751937984496,0.9932222821688697,-0.009811467269168797,744,268,0.8737541528239202,E15S,hybrid_dynamics
Resident_Macrophage,normoxic_stable,0.028684470820969338,0.030429249103320608,0.9426611456488136,-0.08518883018671829,744,263,0.1362126245847176,E15S,hybrid_dynamics
Resident_Macrophage,persistent_hypoxia,0.030213110331804693,0.03031354853638783,0.9966866893045342,-0.0047880334179754,744,262,0.920265780730897,E15S,hybrid_dynamics
Resident_Macrophage,entering_deep_hypoxia,0.022974552648143153,0.023255813953488372,0.9879057638701556,-0.01755466490059256,744,201,0.7408637873754153,E15S,hybrid_dynamics
Resident_Macrophage,NK,0.024548152144591315,0.022908712252690037,1.071564035281327,0.09971806618095753,744,198,0.10299003322259136,E15S,hybrid_dynamics
Resident_Macrophage,reverted_stable,0.013353115727002967,0.013884068031933356,0.9617581602373887,-0.056253929467038125,744,120,0.5282392026578073,E15S,hybrid_dynamics
Resident_Macrophage,cDC,0.006564157899469472,0.007173435149832234,0.9150647858889459,-0.12805420616614338,744,62,0.31893687707641194,E15S,hybrid_dynamics
Resident_Macrophage,B,0.005215358331085334,0.004512322110378341,1.1558036424505267,0.20889632160603838,744,39,0.15614617940199335,E15S,hybrid_dynamics
Resident_Macrophage,CD8_exhausted,0.003551838863411564,0.004049519842647229,0.87710123704189,-0.18918472342714862,744,35,0.2558139534883721,E15S,hybrid_dynamics
Resident_Macrophage,mDC,0.004630878518118874,0.003933819275714451,1.177196559767689,0.23535523127359348,744,34,0.09302325581395349,E15S,hybrid_dynamics
Resident_Macrophage,Hypoxic_Tumor,0.0031471989928963224,0.003702418141848895,0.8500387779875911,-0.23439943771431881,744,32,0.19601328903654486,E15S,hybrid_dynamics
Monocyte,Neutrophil,0.14433231635766253,0.1423116973273169,1.0141985449425017,0.020340109702807196,713,1230,0.4584717607973422,E15S,hybrid_dynamics
Monocyte,C1qcpos_TAM,0.136259094109364,0.13201434687029967,1.0321536813209753,0.04565779515342463,713,1141,0.08305647840531562,E15S,hybrid_dynamics
Monocyte,Stromal,0.12640225299225533,0.13108874233483744,0.9642494903901702,-0.05252161650339904,713,1133,0.03986710963455149,E15S,hybrid_dynamics
Monocyte,Resident_Macrophage,0.0897911288429946,0.08608122179798681,1.043097750793014,0.060874362053525886,713,744,0.07308970099667775,E15S,hybrid_dynamics
Monocyte,Spp1pos_TAM,0.05726355315653602,0.05738748119865787,0.9978405038950421,-0.003118863121181638,713,496,0.9302325581395349,E15S,hybrid_dynamics
Monocyte,exiting_hypoxia,0.047125088007509974,0.05310656022214509,0.8873684872525244,-0.17239477464759112,713,459,0.0033222591362126247,E15S,hybrid_dynamics
Monocyte,Il1bpos_TAM,0.049800516310725185,0.04628022677311119,1.0760646561839944,0.10576476595548502,713,400,0.013289036544850499,E15S,hybrid_dynamics
Monocyte,entering_hypoxia,0.04552921849331143,0.04477611940298507,1.0168192130172886,0.024063195745524665,713,387,0.5548172757475083,E15S,hybrid_dynamics
Monocyte,CAF,0.043933348979112885,0.04477611940298507,0.9811781272001878,-0.027413021745560772,713,387,0.5780730897009967,E15S,hybrid_dynamics
Monocyte,transitional,0.030180708753813658,0.031007751937984496,0.9733278573104904,-0.03900224831438031,713,268,0.4684385382059801,E15S,hybrid_dynamics
Monocyte,normoxic_stable,0.03266838770241727,0.030429249103320608,1.073585075710998,0.10243652137187068,713,263,0.08637873754152824,E15S,hybrid_dynamics
Monocyte,persistent_hypoxia,0.027646092466557148,0.03031354853638783,0.9120044930857001,-0.13288716289154462,713,262,0.04318936877076412,E15S,hybrid_dynamics
Monocyte,entering_deep_hypoxia,0.021215677071110068,0.023255813953488372,0.912274114057733,-0.13246071394829595,713,201,0.06976744186046512,E15S,hybrid_dynamics
Monocyte,NK,0.022482985214738325,0.022908712252690037,0.9814163697524412,-0.02706275952798436,713,198,0.6976744186046512,E15S,hybrid_dynamics
Monocyte,reverted_stable,0.012250645388406478,0.013884068031933356,0.8823527340999766,-0.180572584223189,713,120,0.03986710963455149,E15S,hybrid_dynamics
Monocyte,cDC,0.006758976766017367,0.007173435149832234,0.942223164333679,-0.08585929412911798,713,62,0.5448504983388704,E15S,hybrid_dynamics
Monocyte,B,0.00436517249471955,0.004512322110378341,0.9673893813297709,-0.047831392938772026,713,39,0.6843853820598007,E15S,hybrid_dynamics
Monocyte,CD8_exhausted,0.0036611124149260738,0.004049519842647229,0.9040855600630302,-0.1454687832672731,713,35,0.4019933554817276,E15S,hybrid_dynamics
Monocyte,mDC,0.004130485801455057,0.003933819275714451,1.0499937877051781,0.07038079220240255,713,34,0.6810631229235881,E15S,hybrid_dynamics
Monocyte,Hypoxic_Tumor,0.0031448016897441915,0.003702418141848895,0.8493912813893453,-0.2354987947267826,713,32,0.2026578073089701,E15S,hybrid_dynamics
Spp1pos_TAM,Neutrophil,0.13786591123701605,0.1423116973273169,0.9687602201801054,-0.045788469457894984,496,1230,0.132890365448505,E15S,hybrid_dynamics
Spp1pos_TAM,C1qcpos_TAM,0.13584243895858628,0.13201434687029967,1.0289975459413332,0.04123954154918907,496,1141,0.2059800664451827,E15S,hybrid_dynamics
Spp1pos_TAM,Stromal,0.13786591123701605,0.13108874233483744,1.0516990916341833,0.07272198494819158,496,1133,0.019933554817275746,E15S,hybrid_dynamics
Spp1pos_TAM,Resident_Macrophage,0.08754890058006205,0.08608122179798681,1.0170499297224143,0.024390506722192878,496,744,0.5415282392026578,E15S,hybrid_dynamics
Spp1pos_TAM,Monocyte,0.0808039929852961,0.0824945042230707,0.9795075895819273,-0.02987142382401653,496,713,0.5116279069767442,E15S,hybrid_dynamics
Spp1pos_TAM,exiting_hypoxia,0.052138135707540806,0.05310656022214509,0.9817645030942814,-0.02655108965787464,496,459,0.6212624584717608,E15S,hybrid_dynamics
Spp1pos_TAM,Il1bpos_TAM,0.05200323755564549,0.04628022677311119,1.12365995548361,0.1682055099713957,496,400,0.006644518272425249,E15S,hybrid_dynamics
Spp1pos_TAM,entering_hypoxia,0.03939026035343316,0.04477611940298507,0.8797158145600074,-0.18489054743330682,496,387,0.0033222591362126247,E15S,hybrid_dynamics
Spp1pos_TAM,CAF,0.04667476055578038,0.04477611940298507,1.042402985745762,0.05991312132340031,496,387,0.292358803986711,E15S,hybrid_dynamics
Spp1pos_TAM,transitional,0.03075677863213274,0.031007751937984496,0.9919061108862809,-0.011724526461944738,496,268,0.8803986710963455,E15S,hybrid_dynamics
Spp1pos_TAM,normoxic_stable,0.027451773910697422,0.030429249103320608,0.9021508817876723,-0.14855935519496938,496,263,0.046511627906976744,E15S,hybrid_dynamics
Spp1pos_TAM,persistent_hypoxia,0.030149736948603803,0.03031354853638783,0.9945960933083308,-0.007817330523046655,496,262,0.8837209302325582,E15S,hybrid_dynamics
Spp1pos_TAM,entering_deep_hypoxia,0.02225819506272764,0.023255813953488372,0.9571023876972885,-0.06325482710202691,496,201,0.42857142857142855,E15S,hybrid_dynamics
Spp1pos_TAM,NK,0.023067583974099554,0.022908712252690037,1.006934991354255,0.009970544637374347,496,198,0.9102990033222591,E15S,hybrid_dynamics
Spp1pos_TAM,reverted_stable,0.013489815189531903,0.013884068031933356,0.9716039390260353,-0.04155975600270799,496,120,0.6777408637873754,E15S,hybrid_dynamics
Spp1pos_TAM,cDC,0.007082152974504249,0.007173435149832234,0.9872749703006488,-0.018476142889666602,496,62,0.9235880398671097,E15S,hybrid_dynamics
Spp1pos_TAM,B,0.004046944556859571,0.004512322110378341,0.896865174485571,-0.15703697342264394,496,39,0.4219269102990033,E15S,hybrid_dynamics
Spp1pos_TAM,CD8_exhausted,0.0033724537973829757,0.004049519842647229,0.8328033763080304,-0.26395217733915566,496,35,0.18272425249169436,E15S,hybrid_dynamics
Spp1pos_TAM,mDC,0.0029003102657493593,0.003933819275714451,0.7372759302021091,-0.4397234367171556,496,34,0.03322259136212625,E15S,hybrid_dynamics
Spp1pos_TAM,Hypoxic_Tumor,0.004046944556859571,0.003702418141848895,1.0930544314042898,0.12836524543960456,496,32,0.44518272425249167,E15S,hybrid_dynamics
exiting_hypoxia,Neutrophil,0.14937577571731037,0.1423116973273169,1.04963807278432,0.06989195588127475,459,1230,0.04983388704318937,E15S,hybrid_dynamics
exiting_hypoxia,C1qcpos_TAM,0.1221435350806746,0.13201434687029967,0.9252292495199567,-0.11211721988778084,459,1141,0.0033222591362126247,E15S,hybrid_dynamics
exiting_hypoxia,Stromal,0.13638022924728044,0.13108874233483744,1.0403656852464649,0.05709072025169445,459,1133,0.05647840531561462,E15S,hybrid_dynamics
exiting_hypoxia,Resident_Macrophage,0.08155070453383953,0.08608122179798681,0.9473692732338374,-0.07800121426216844,459,744,0.07973421926910298,E15S,hybrid_dynamics
exiting_hypoxia,Monocyte,0.07454187048258742,0.0824945042230707,0.9035980176451656,-0.14624698920353862,459,713,0.0033222591362126247,E15S,hybrid_dynamics
exiting_hypoxia,Spp1pos_TAM,0.05796889829889757,0.05738748119865787,1.0101314274140558,0.014543013118630752,459,496,0.770764119601329,E15S,hybrid_dynamics
exiting_hypoxia,Il1bpos_TAM,0.04358618675622399,0.04628022677311119,0.9417885303351099,-0.08652494214737147,459,400,0.10963455149501661,E15S,hybrid_dynamics
exiting_hypoxia,entering_hypoxia,0.04643352558954516,0.04477611940298507,1.0370154048331752,0.052437325502493345,459,387,0.3787375415282392,E15S,hybrid_dynamics
exiting_hypoxia,CAF,0.047893699350222675,0.04477611940298507,1.0696259521549731,0.09710637483622162,459,387,0.07973421926910298,E15S,hybrid_dynamics
exiting_hypoxia,transitional,0.030955683726363436,0.031007751937984496,0.9983208001752208,-0.0024246095320250793,459,268,0.9667774086378738,E15S,hybrid_dynamics
exiting_hypoxia,normoxic_stable,0.030955683726363436,0.030429249103320608,1.0173002830682858,0.024745591633444877,459,263,0.7342192691029901,E15S,hybrid_dynamics
exiting_hypoxia,persistent_hypoxia,0.03256187486310871,0.03031354853638783,1.0741690245872082,0.10322102474540247,459,262,0.11960132890365449,E15S,hybrid_dynamics
exiting_hypoxia,entering_deep_hypoxia,0.027670292764839014,0.023255813953488372,1.1898225888880776,0.2507464733547111,459,201,0.0033222591362126247,E15S,hybrid_dynamics
exiting_hypoxia,NK,0.021829597722128932,0.022908712252690037,0.9528950157189918,-0.06961081951895633,459,198,0.4186046511627907,E15S,hybrid_dynamics
exiting_hypoxia,reverted_stable,0.01598890267941885,0.013884068031933356,1.1516007154851426,0.20364059035520296,459,120,0.053156146179401995,E15S,hybrid_dynamics
exiting_hypoxia,cDC,0.007008834051252099,0.007173435149832234,0.9770540758866435,-0.03348968330317072,459,62,0.8338870431893688,E15S,hybrid_dynamics
exiting_hypoxia,B,0.003942469153829306,0.004512322110378341,0.8737118178601715,-0.19477059033623165,459,39,0.33222591362126247,E15S,hybrid_dynamics
exiting_hypoxia,CD8_exhausted,0.0038694604657954295,0.004049519842647229,0.9555356230248543,-0.06561843601921903,459,35,0.7242524916943521,E15S,hybrid_dynamics
exiting_hypoxia,mDC,0.0033583996495582975,0.003933819275714451,0.8537249462097755,-0.22815675883077832,459,34,0.31893687707641194,E15S,hybrid_dynamics
